"Name","Screen name","Party","Constituency","Followers","New followers in last 24 hours"
"Bim Afolami","@BimAfolami","Conservative","Hitchin and Harpenden",14180,11
"Bill Esterson ","@Bill_Esterson","Labour","Sefton Central",32815,-5
"Beth Winter","@BethWinterMP","Labour","Cynon Valley",9365,10
"Bernard Jenkin ","@bernardjenkin","Conservative","Harwich and North Essex",36361,-3
"Ben Wallace ","@BWallaceMP","Conservative","Wyre and Preston North",23838,48
"Ben Spencer","@DrBenSpencer","Conservative","Runnymede and Weybridge",4708,10
"Ben Lake","@BenMLake","Plaid Cymru","Ceredigion",8182,2
"Ben Everitt","@Ben_Everitt","Conservative","Milton Keynes North",7478,7
"Ben Bradshaw ","@BenPBradshaw","Labour","Exeter",71859,1
"Ben Bradley","@BBradley_Mans","Conservative","Mansfield",33139,1
"Bell Ribeiro-Addy","@BellRibeiroAddy","Labour","Streatham",53565,31
"Barry Sheerman ","@BarrySheerman","Labour","Huddersfield",22492,-6
"Barry Gardiner ","@BarryGardiner","Labour","Brent North",91714,54
"Barbara Keeley ","@KeeleyMP","Labour","Worsley and Eccles South",26357,4
"Bambos Charalambous","@Bambos_MP","Labour","Enfield, Southgate",10171,4
"Apsana Begum","@ApsanaBegumMP","Labour","Poplar and Limehouse",28896,21
"Antony Higginbotham","@antony_hig","Conservative","Burnley",3575,2
"Anthony Mangnall","@AnthonyMangnal1","Conservative","Totnes",5519,5
"Anthony Browne","@ab4scambs","Conservative","South Cambridgeshire",4291,5
"Anneliese Dodds","@AnnelieseDodds","Labour","Oxford East",63954,22
"Anne-Marie Trevelyan ","@annietrev","Conservative","Berwick-upon-Tweed",23897,7
"Anne McLaughlin ","@AnneMcLaughlin","Scottish National Party","Glasgow North East",13604,0
"Anne Marie Morris ","@AnneMarieMorris","Conservative","Newton Abbot",20889,-1
"Anna McMorrin","@AnnaMcMorrin","Labour","Cardiff North",16419,2
"Angus MacNeil ","@AngusMacNeilSNP","Scottish National Party","Na h-Eileanan an Iar",41487,30
"Angela Richardson","@AJRichardsonMP","Conservative","Guildford",7812,249
"Angela Rayner ","@AngelaRayner","Labour","Ashton-under-Lyne",293485,230
"Angela Eagle ","@angelaeagle","Labour","Wallasey",75308,1
"Andy Slaughter ","@hammersmithandy","Labour","Hammersmith",25596,4
"Andy McDonald ","@AndyMcDonaldMP","Labour","Middlesbrough",43176,-2
"Andy Carter","@MrAndy_Carter","Conservative","Warrington South",5275,5
"Andrew Stephenson ","@Andrew4Pendle","Conservative","Pendle",24754,-3
"Andrew Selous ","@AndrewSelous","Conservative","South West Bedfordshire",20653,1
"Andrew Rosindell ","@AndrewRosindell","Conservative","Romford",21413,-6
"Andrew Lewer","@ALewerMBE","Conservative","Northampton South",4799,0
"Andrew Jones","@AJonesMP","Conservative","Harrogate and Knaresborough",15687,-1
"Andrew Gwynne ","@GwynneMP","Labour","Denton and Reddish",49312,1
"Andrew Griffith","@griffitha","Conservative","Arundel and South Downs",4404,7
"Andrew Bridgen ","@ABridgen","Conservative","North West Leicestershire",37411,-5
"Andrew Bowie","@AndrewBowie_MP","Conservative","West Aberdeenshire and Kincardine",17288,19
"Andrea Leadsom ","@andrealeadsom","Conservative","South Northamptonshire",123028,-1
"Andrea Jenkyns ","@andreajenkyns","Conservative","Morley and Outwood",61440,7
"Amy Callaghan","@AmyCallaghanSNP","Scottish National Party","East Dunbartonshire",14520,5
"Amanda Solloway ","@ASollowayUK","Conservative","Derby North",5511,5
"Amanda Milling ","@amandamilling","Conservative","Cannock Chase",17310,17
